Class;Mean;Standard deviation;Max elongation;Average elongation;Max compactness;Average compactess;Max eccentricity;Average eccentricity;Pixel ratio
LongTrans;129.2685720486111;35.19470111953285;12.27410260553666;2.9858736035657283;0.18182097310657902;0.020623569014184523;10.752652559239342;1.3308502008986134;0.02773983105188324
LongTrans;140.61395182291668;37.587981339171805;12.27410260553666;2.9858736035657283;0.18577360256395753;0.050004460133965686;10.819370636061604;3.205468277560223;0.027252967731148638
LongTrans;126.65423855251736;36.542736127156964;12.351338209099271;2.6590577720865936;0.18360991221447337;0.02082693778949954;10.645330016836695;1.2835657697784169;0.028198477114885784
LongTrans;97.5908580186632;32.45316784733638;5.41285221229667;1.2185703890639425;0.3423030479261708;0.0965405056579039;5.233373223331411;1.617837545903658;0.015369360436291522
LongTrans;141.01786187065971;33.574786135877275;12.27410260553666;2.9858736035657283;0.18182097310657902;0.04880934642891272;10.889568211992145;3.2214236127072327;0.02668077758591879
LongTrans;127.8882101779514;45.8994615139633;7.2420380684318;7.2420380684318;0.08102363183186254;0.0030008752530319457;5.397552537223386;0.19990935323049577;0.025395677449862313
LongTrans;134.40863850911458;47.037943166186764;7.2420380684318;7.2420380684318;0.08259173881814309;0.00317660533915935;5.3905764241312;0.2073298624665846;0.025709515859766278
LongTrans;117.37933892144098;41.95394550120003;6.89797483996419;6.89797483996419;0.07618707826023083;0.0038093539130115415;5.6115456943888615;0.2805772847194431;0.024199149834690077
LongTrans;121.29240125868056;48.220975063495324;6.9095437121941785;6.9095437121941785;0.082473560708218;0.0026604374422005807;5.065000777747186;0.16338712186281246;0.02625205311656134
LongTrans;124.37371690538194;42.311976718998565;6.89797483996419;6.89797483996419;0.07635306778885402;0.0036358603708978106;5.568034932322775;0.2651445205867988;0.024426844518549394
LongTrans;135.34108805338542;47.00006815534357;9.56684088110827;1.2790736537685021;0.5040736443912006;0.22097858730149741;9.970951055045791;3.329408876102919;0.026223484215800903
LongTrans;141.25646511501736;48.90794152098095;9.534265688673786;1.6996731711975952;0.5670284829791856;0.16613818784616122;10.69217122961134;2.620541113997586;0.024483784009115415
LongTrans;115.21388726128473;45.60686035143539;8.447919681127154;8.447919681127154;0.14162850327409496;0.014162850327409496;6.589184142103259;0.6589184142103259;0.007103048847120533
LongTrans;139.5677134874132;43.429701767486165;9.56684088110827;2.625;0.36517669818231563;0.08413225402372723;9.946331477591025;2.697500292621141;0.020965463760489654
LongTrans;131.43481011284723;46.98835584275666;15.051993223490369;1.7054315383580028;0.3918576247663359;0.1050441023312498;13.360190324844249;2.784325768109862;0.02028728792449697
LongTrans;135.25578128003653;53.660734260392864;9.879798079649058;0.5625;0.8450733885992592;0.032959054163946726;9.016163402007505;0.3770034624987037;0.02173164479473543
LongTrans;122.3971158929258;53.66174816545682;10.29147850964719;0.5625;0.8450733885992592;0.03282298949851491;8.726951088255381;0.3662918953226991;0.020534247098836986
LongTrans;140.38854246764066;48.75230493889081;10.297871325966055;0.5;0.8314275587741657;0.05140645255188172;9.195239947970753;0.608147405204801;0.020807318875665757
LongTrans;150.7014723653963;62.00993567167394;10.29147850964719;10.29147850964719;0.04140830985547406;0.001119143509607407;8.956752964470192;0.24207440444514033;0.020144397896425706
LongTrans;120.02090767373126;49.7874413678929;10.297871325966055;0.5625;0.8450733885992592;0.05217136089376909;9.320784210338593;0.6166890762232993;0.02065125996891482
LongTrans;124.89396294487847;57.40624562344362;5.359490454421436;1.1678521008965392;0.2723179373436431;0.011628696209310426;4.820572764465225;0.19345279857341188;0.024455313472654512
LongTrans;116.82636311848958;53.467344241142435;2.5521585988166007;1.1976801072065186;0.4878351534030369;0.025073205642327966;2.6244608225753923;0.19024351758793995;0.021050299135829825
LongTrans;130.1242640516493;54.53779777838684;3.0000000000000004;1.1359601249187425;0.4775627516287377;0.022872182819389898;2.6606489541778076;0.17420784398366437;0.021050299135829825
LongTrans;108.53364447699653;53.7697981272044;2.5521585988166007;1.1192783230123131;0.4878351534030369;0.024959986302916598;2.6244608225753923;0.17089131729058382;0.019271711781458235
